,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-01-23,0,0,0,0,0,0
1,1,2020-02-26,1,0,0,1,1,0
2,2,2020-02-27,0,0,0,1,1,0
3,3,2020-02-28,0,0,0,1,1,0
4,4,2020-02-29,1,0,0,2,2,0
5,5,2020-03-01,0,0,0,2,2,0
6,6,2020-03-02,0,0,0,2,2,0
7,7,2020-03-03,0,0,0,2,2,0
8,8,2020-03-04,2,0,0,4,4,0
9,9,2020-03-05,0,0,0,4,4,0
10,10,2020-03-06,9,0,0,13,13,0
11,11,2020-03-07,0,0,0,13,13,0
12,12,2020-03-08,7,0,0,20,20,0
13,13,2020-03-09,5,0,0,25,25,0
14,14,2020-03-10,6,0,0,31,31,0
15,15,2020-03-11,7,0,0,38,38,0
16,16,2020-03-12,14,0,0,52,52,0
17,17,2020-03-13,99,0,0,151,151,0
18,18,2020-03-14,0,0,0,151,151,0
19,19,2020-03-15,11,0,0,162,162,0
20,20,2020-03-16,38,0,1,200,199,-1
21,21,2020-03-17,121,1,1,321,318,-3
22,22,2020-03-18,51,2,0,372,367,-5
23,23,2020-03-19,249,3,0,621,613,-8
24,24,2020-03-20,172,5,0,793,780,-13
25,25,2020-03-21,228,4,0,1021,1004,-17
26,26,2020-03-22,525,10,0,1546,1519,-27
27,27,2020-03-23,378,9,0,1924,1888,-36
28,28,2020-03-24,323,12,0,2247,2199,-48
29,29,2020-03-25,307,13,0,2554,2493,-61
30,30,2020-03-26,431,18,4,2985,2902,-83
31,31,2020-03-27,432,15,0,3417,3319,-98
32,32,2020-03-28,487,19,0,3904,3787,-117
33,33,2020-03-29,352,25,0,4256,4114,-142
34,34,2020-03-30,323,23,114,4579,4300,-279
35,35,2020-03-31,1138,42,7,5717,5389,-328
36,36,2020-04-01,1119,39,0,6836,6469,-367
37,37,2020-04-02,1208,84,0,8044,7593,-451
38,38,2020-04-03,1012,35,0,9056,8570,-486
39,39,2020-04-04,1304,86,0,10360,9788,-572
40,40,2020-04-05,770,41,0,11130,10517,-613
41,41,2020-04-06,1031,78,0,12161,11470,-691
42,42,2020-04-07,1873,122,0,14034,13221,-813
43,43,2020-04-08,2136,133,0,16170,15224,-946
44,44,2020-04-09,1922,131,46,18092,16969,-1123
45,45,2020-04-10,1546,107,0,19638,18408,-1230
46,46,2020-04-11,1089,67,0,20727,19430,-1297
47,47,2020-04-12,1465,99,0,22192,20796,-1396
48,48,2020-04-13,1238,105,0,23430,21929,-1501
49,49,2020-04-14,1832,204,2873,25262,20684,-4578
50,50,2020-04-15,3058,204,10980,28320,12558,-15762
51,51,2020-04-16,2105,188,0,30425,14475,-15950
52,52,2020-04-17,3257,217,0,33682,17515,-16167
53,53,2020-04-18,2976,213,0,36658,20278,-16380
54,54,2020-04-19,1996,108,8104,38654,14062,-24592
55,55,2020-04-20,2089,125,0,40743,16026,-24717
56,56,2020-04-21,2336,154,861,43079,17347,-25732
57,57,2020-04-22,2678,165,2327,45757,17533,-28224
58,58,2020-04-23,4279,425,1255,50036,20132,-29904
59,59,2020-04-24,4007,373,1082,54043,22684,-31359
60,60,2020-04-25,5281,353,1505,59324,26107,-33217
61,61,2020-04-26,3776,229,992,63100,28662,-34438
62,62,2020-04-27,4346,317,990,67446,31701,-35745
63,63,2020-04-28,5789,480,1402,73235,35608,-37627
64,64,2020-04-29,6450,430,1588,79685,40040,-39645
65,65,2020-04-30,7502,493,1803,87187,45246,-41941
66,66,2020-05-01,5015,406,2104,92202,47751,-44451
67,67,2020-05-02,4898,349,2898,97100,49402,-47698
68,68,2020-05-03,4726,290,2054,101826,51784,-50042
69,69,2020-05-04,6794,316,2824,108620,55438,-53182
