,Unnamed: 0,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta,pred,
0,0.0,0.0,2020-01-28,4.0,0.0,0.0,4.0,4.0,0.0,,
1,1.0,1.0,2020-01-29,0.0,0.0,0.0,4.0,4.0,0.0,,
2,2.0,2.0,2020-01-30,0.0,0.0,0.0,4.0,4.0,0.0,,
3,3.0,3.0,2020-01-31,1.0,0.0,0.0,5.0,5.0,0.0,,
4,4.0,4.0,2020-02-01,3.0,0.0,0.0,8.0,8.0,0.0,,
5,5.0,5.0,2020-02-02,2.0,0.0,0.0,10.0,10.0,0.0,,
6,6.0,6.0,2020-02-03,2.0,0.0,0.0,12.0,12.0,0.0,,
7,7.0,7.0,2020-02-04,0.0,0.0,0.0,12.0,12.0,0.0,,
8,8.0,8.0,2020-02-05,0.0,0.0,0.0,12.0,12.0,0.0,,
9,9.0,9.0,2020-02-06,0.0,0.0,0.0,12.0,12.0,0.0,,
10,10.0,10.0,2020-02-07,1.0,0.0,0.0,13.0,13.0,0.0,,
11,11.0,11.0,2020-02-08,0.0,0.0,0.0,13.0,13.0,0.0,,
12,12.0,12.0,2020-02-09,1.0,0.0,0.0,14.0,14.0,0.0,,
13,13.0,13.0,2020-02-10,0.0,0.0,0.0,14.0,14.0,0.0,,
14,14.0,14.0,2020-02-11,2.0,0.0,0.0,16.0,16.0,0.0,,
15,15.0,15.0,2020-02-12,0.0,0.0,0.0,16.0,16.0,0.0,,
16,16.0,16.0,2020-02-13,0.0,0.0,1.0,16.0,15.0,-1.0,,
17,17.0,17.0,2020-02-14,0.0,0.0,0.0,16.0,15.0,-1.0,,
18,18.0,18.0,2020-02-15,0.0,0.0,0.0,16.0,15.0,-1.0,,
19,19.0,19.0,2020-02-16,0.0,0.0,0.0,16.0,15.0,-1.0,,
20,20.0,20.0,2020-02-17,0.0,0.0,0.0,16.0,15.0,-1.0,,
21,21.0,21.0,2020-02-18,0.0,0.0,11.0,16.0,4.0,-12.0,,
22,22.0,22.0,2020-02-19,0.0,0.0,0.0,16.0,4.0,-12.0,,
23,23.0,23.0,2020-02-20,0.0,0.0,0.0,16.0,4.0,-12.0,,
24,24.0,24.0,2020-02-21,0.0,0.0,2.0,16.0,2.0,-14.0,,
25,25.0,25.0,2020-02-22,0.0,0.0,0.0,16.0,2.0,-14.0,,
26,26.0,26.0,2020-02-23,0.0,0.0,0.0,16.0,2.0,-14.0,,
27,27.0,27.0,2020-02-24,0.0,0.0,0.0,16.0,2.0,-14.0,,
28,28.0,28.0,2020-02-25,1.0,0.0,0.0,17.0,3.0,-14.0,,
29,29.0,29.0,2020-02-26,10.0,0.0,1.0,27.0,12.0,-15.0,,
30,30.0,30.0,2020-02-27,19.0,0.0,1.0,46.0,30.0,-16.0,,
31,31.0,31.0,2020-02-28,2.0,0.0,0.0,48.0,32.0,-16.0,,
32,32.0,32.0,2020-02-29,31.0,0.0,0.0,79.0,63.0,-16.0,,
33,33.0,33.0,2020-03-01,51.0,0.0,0.0,130.0,114.0,-16.0,,
34,34.0,34.0,2020-03-02,29.0,0.0,0.0,159.0,143.0,-16.0,,
35,35.0,35.0,2020-03-03,37.0,0.0,0.0,196.0,180.0,-16.0,,
36,36.0,36.0,2020-03-04,66.0,0.0,0.0,262.0,246.0,-16.0,,
37,37.0,37.0,2020-03-05,220.0,0.0,0.0,482.0,466.0,-16.0,,
38,38.0,38.0,2020-03-06,188.0,0.0,1.0,670.0,653.0,-17.0,,
39,39.0,39.0,2020-03-07,129.0,0.0,1.0,799.0,781.0,-18.0,,
40,40.0,40.0,2020-03-08,241.0,0.0,0.0,1040.0,1022.0,-18.0,,
41,41.0,41.0,2020-03-09,136.0,2.0,0.0,1176.0,1156.0,-20.0,,
42,42.0,42.0,2020-03-10,281.0,0.0,0.0,1457.0,1437.0,-20.0,,
43,43.0,43.0,2020-03-11,451.0,1.0,7.0,1908.0,1880.0,-28.0,,
44,44.0,44.0,2020-03-12,170.0,0.0,0.0,2078.0,2050.0,-28.0,,
45,45.0,45.0,2020-03-13,1597.0,4.0,21.0,3675.0,3622.0,-53.0,,
46,46.0,46.0,2020-03-14,910.0,2.0,0.0,4585.0,4530.0,-55.0,,
47,47.0,47.0,2020-03-15,1210.0,2.0,0.0,5795.0,5738.0,-57.0,,
48,48.0,48.0,2020-03-16,1477.0,6.0,21.0,7272.0,7188.0,-84.0,,
49,49.0,49.0,2020-03-17,1985.0,7.0,0.0,9257.0,9166.0,-91.0,,
50,50.0,50.0,2020-03-18,3070.0,4.0,38.0,12327.0,12194.0,-133.0,,
51,51.0,51.0,2020-03-19,2993.0,16.0,8.0,15320.0,15163.0,-157.0,,
52,52.0,52.0,2020-03-20,4528.0,23.0,67.0,19848.0,19601.0,-247.0,,
53,53.0,53.0,2020-03-21,2365.0,17.0,53.0,22213.0,21896.0,-317.0,,
54,54.0,54.0,2020-03-22,2660.0,10.0,33.0,24873.0,24513.0,-360.0,,
55,55.0,55.0,2020-03-23,4183.0,29.0,187.0,29056.0,28480.0,-576.0,,
56,56.0,56.0,2020-03-24,3930.0,34.0,2790.0,32986.0,29586.0,-3400.0,,
57,57.0,57.0,2020-03-25,4337.0,49.0,304.0,37323.0,33570.0,-3753.0,,
58,58.0,58.0,2020-03-26,6615.0,61.0,2126.0,43938.0,37998.0,-5940.0,,
59,59.0,59.0,2020-03-27,6933.0,75.0,985.0,50871.0,43871.0,-7000.0,,
60,60.0,60.0,2020-03-28,6824.0,91.0,1823.0,57695.0,48781.0,-8914.0,,
61,61.0,61.0,2020-03-29,4400.0,100.0,730.0,62095.0,52351.0,-9744.0,,
62,62.0,62.0,2020-03-30,4790.0,112.0,4289.0,66885.0,52740.0,-14145.0,,
63,63.0,63.0,2020-03-31,4923.0,130.0,2600.0,71808.0,54933.0,-16875.0,,
64,64.0,64.0,2020-04-01,6064.0,145.0,2600.0,77872.0,58252.0,-19620.0,,
65,65.0,65.0,2020-04-02,6922.0,187.0,3740.0,84794.0,61247.0,-23547.0,,
66,66.0,66.0,2020-04-03,6365.0,168.0,2135.0,91159.0,65309.0,-25850.0,,
67,67.0,67.0,2020-04-04,4933.0,169.0,1825.0,96092.0,68248.0,-27844.0,,
68,68.0,68.0,2020-04-05,4031.0,140.0,2300.0,100123.0,69839.0,-30284.0,,
69,69.0,69.0,2020-04-06,3251.0,226.0,0.0,103374.0,72864.0,-30510.0,,
70,70.0,70.0,2020-04-07,4289.0,206.0,7381.0,107663.0,69566.0,-38097.0,,
71,71.0,71.0,2020-04-08,5633.0,333.0,10219.0,113296.0,64647.0,-48649.0,,
72,72.0,72.0,2020-04-09,4885.0,258.0,6107.0,118181.0,63167.0,-55014.0,,
73,73.0,73.0,2020-04-10,3990.0,160.0,1506.0,122171.0,65491.0,-56680.0,,
74,74.0,74.0,2020-04-11,2737.0,-31.0,3487.0,124908.0,64772.0,-60136.0,,
75,75.0,75.0,2020-04-12,2946.0,286.0,2900.0,127854.0,64532.0,-63322.0,,
76,76.0,76.0,2020-04-13,2218.0,172.0,4000.0,130072.0,62578.0,-67494.0,,
77,77.0,77.0,2020-04-14,1287.0,100.0,3900.0,131359.0,59865.0,-71494.0,,
78,78.0,78.0,2020-04-15,3394.0,510.0,4400.0,134753.0,58349.0,-76404.0,,
79,79.0,79.0,2020-04-16,2945.0,248.0,4400.0,137698.0,56646.0,-81052.0,,
80,80.0,80.0,2020-04-17,3699.0,300.0,6114.0,141397.0,53931.0,-87466.0,,
81,81.0,81.0,2020-04-18,1945.0,107.0,2286.0,143342.0,53483.0,-89859.0,,
82,82.0,82.0,2020-04-19,1842.0,127.0,2600.0,145184.0,52598.0,-92586.0,,
83,83.0,83.0,2020-04-20,1881.0,276.0,3500.0,147065.0,50703.0,-96362.0,,
84,84.0,84.0,2020-04-21,1226.0,171.0,3700.0,148291.0,48058.0,-100233.0,,
85,85.0,85.0,2020-04-22,2357.0,246.0,4200.0,150648.0,45969.0,-104679.0,,
86,86.0,86.0,2020-04-23,2481.0,296.0,3900.0,153129.0,44254.0,-108875.0,,
87,87.0,87.0,2020-04-24,1870.0,185.0,6500.0,154999.0,39439.0,-115560.0,,
88,88.0,88.0,2020-04-25,1514.0,117.0,0.0,156513.0,40836.0,-115677.0,,
89,89.0,89.0,2020-04-26,1257.0,99.0,2200.0,157770.0,39794.0,-117976.0,,
90,90.0,90.0,2020-04-27,988.0,150.0,2500.0,158758.0,38132.0,-120626.0,,
91,91.0,91.0,2020-04-28,1154.0,188.0,2900.0,159912.0,36198.0,-123714.0,,
92,92.0,92.0,2020-04-29,1627.0,153.0,3000.0,161539.0,34672.0,-126867.0,,
93,93.0,93.0,2020-04-30,1470.0,156.0,3100.0,163009.0,32886.0,-130123.0,163444.9193327051,
94,94.0,94.0,2020-05-01,1068.0,113.0,3400.0,164077.0,30441.0,-133636.0,165419.492194709,
95,95.0,95.0,2020-05-02,890.0,76.0,2100.0,164967.0,29155.0,-135812.0,167185.58776972422,
96,96.0,96.0,2020-05-03,697.0,54.0,1600.0,165664.0,28198.0,-137466.0,168633.45432279594,
97,97.0,97.0,2020-05-04,488.0,127.0,2100.0,166152.0,26459.0,-139693.0,169877.05937715343,
98,,,2020-05-05,,,,,,,171164.64329861812,
99,,,2020-05-06,,,,,,,172700.74465356278,
100,,,2020-05-07,,,,,,,174509.1973638156,
101,,,2020-05-08,,,,,,,176427.665015161,
102,,,2020-05-09,,,,,,,178229.67837418857,
103,,,2020-05-10,,,,,,,179783.15809041823,
104,,,2020-05-11,,,,,,,181134.9690978565,
105,,,2020-05-12,,,,,,,182468.1873754641,
106,,,2020-05-13,,,,,,,183968.89473467393,
107,,,2020-05-14,,,,,,,185698.9036025738,
108,,,2020-05-15,,,,,,,187560.98621782096,
109,,,2020-05-16,,,,,,,189374.81311809117,
110,,,2020-05-17,,,,,,,191005.09962046158,
111,,,2020-05-18,,,,,,,192451.30659114034,
112,,,2020-05-19,,,,,,,193839.9333579695,
113,,,2020-05-20,,,,,,,195330.50442240786,
114,,,2020-05-21,,,,,,,197004.63399459558,
115,,,2020-05-22,,,,,,,198814.9521367966,
116,,,2020-05-23,,,,,,,200625.18877367934,
117,,,2020-05-24,,,,,,,202308.57482876463,
118,,,2020-05-25,,,,,,,203833.8569237946,
119,,,2020-05-26,,,,,,,205280.91936836095,
120,,,2020-05-27,,,,,,,206779.56216508828,
121,,,2020-05-28,,,,,,,208417.85531764882,
122,,,2020-05-29,,,,,,,210184.4873357385,
123,,,2020-05-30,,,,,,,211982.4470024378,
124,,,2020-05-31,,,,,,,213700.4186564927,
125,,,2020-06-01,,,,,,,215289.66877306972,
126,,,2020-06-02,,,,,,,216793.58071895796,
127,,,2020-06-03,,,,,,,218312.50305566945,
128,,,2020-06-04,,,,,,,219931.796893772,
129,,,2020-06-05,,,,,,,221664.4319047073,
130,,,2020-06-06,,,,,,,223446.46638061485,
131,,,2020-06-07,,,,,,,225185.32914211348,
132,,,2020-06-08,,,,,,,226824.76201809157,
133,,,2020-06-09,,,,,,,228381.0682952447,
134,,,2020-06-10,,,,,,,229927.62885010339,
135,,,2020-06-11,,,,,,,231541.36187000712,
136,,,2020-06-12,,,,,,,233249.97524432652,
137,,,2020-06-13,,,,,,,235015.99107754987,
138,,,2020-06-14,,,,,,,236766.24992633073,
139,,,2020-06-15,,,,,,,238444.01757047442,
140,,,2020-06-16,,,,,,,240046.75048477078,
141,,,2020-06-17,,,,,,,241624.5854272645,
142,,,2020-06-18,,,,,,,243242.93857402107,
143,,,2020-06-19,,,,,,,244936.91015200887,
144,,,2020-06-20,,,,,,,246689.12759707042,
145,,,2020-06-21,,,,,,,248444.75582872066,
146,,,2020-06-22,,,,,,,250151.19509699047,
147,,,2020-06-23,,,,,,,251793.87298669538,
148,,,2020-06-24,,,,,,,253403.91848742304,
149,,,2020-06-25,,,,,,,255034.16180170243,
150,,,2020-06-26,,,,,,,256721.75041980093,
151,,,2020-06-27,,,,,,,258463.71701177684,
152,,,2020-06-28,,,,,,,260221.41021964676,
153,,,2020-06-29,,,,,,,261949.0323324998,
154,,,2020-06-30,,,,,,,263625.34769987245,
155,,,2020-07-01,,,,,,,265266.7148100868,
156,,,2020-07-02,,,,,,,266913.66031546524,
157,,,2020-07-03,,,,,,,268601.7506664274,
158,,,2020-07-04,,,,,,,270337.597262415,
159,,,2020-07-05,,,,,,,272096.07610369945,
160,,,2020-07-06,,,,,,,273839.3895518288,
161,,,2020-07-07,,,,,,,275543.6418929982,
162,,,2020-07-08,,,,,,,277214.32712018845,
163,,,2020-07-09,,,,,,,278880.8151714004,
164,,,2020-07-10,,,,,,,280574.86118419893,
165,,,2020-07-11,,,,,,,282308.77358693624,
166,,,2020-07-12,,,,,,,284068.1728068952,
167,,,2020-07-13,,,,,,,285823.4120266361,
168,,,2020-07-14,,,,,,,287550.74111929536,
169,,,2020-07-15,,,,,,,289248.174748688,
170,,,2020-07-16,,,,,,,290935.54399979836,
171,,,2020-07-17,,,,,,,292639.6441589065,
172,,,2020-07-18,,,,,,,294375.5159949714,
173,,,2020-07-19,,,,,,,296136.8772674243,
174,,,2020-07-20,,,,,,,297901.6914278337,
175,,,2020-07-21,,,,,,,299648.1628822274,
176,,,2020-07-22,,,,,,,301369.6090816906,
177,,,2020-07-23,,,,,,,303078.1190194303,
178,,,2020-07-24,,,,,,,304795.1713894608,
179,,,2020-07-25,,,,,,,306536.40177421935,
180,,,2020-07-26,,,,,,,308301.273619562,
181,,,2020-07-27,,,,,,,310074.4139030753,
182,,,2020-07-28,,,,,,,311837.00215896685,
183,,,2020-07-29,,,,,,,313579.83158314944,
184,,,2020-07-30,,,,,,,315309.021191646,
185,,,2020-07-31,,,,,,,317040.91801472986,
186,,,2020-08-01,,,,,,,318790.31900367956,
187,,,2020-08-02,,,,,,,320560.45751422126,
188,,,2020-08-03,,,,,,,322341.48791162414,
189,,,2020-08-04,,,,,,,324117.99402832304,
190,,,2020-08-05,,,,,,,325879.8523484363,
191,,,2020-08-06,,,,,,,327628.8292449559,
192,,,2020-08-07,,,,,,,329376.661972939,
193,,,2020-08-08,,,,,,,331136.44449238636,
194,,,2020-08-09,,,,,,,332913.6029017314,
195,,,2020-08-10,,,,,,,334702.6489136712,
196,,,2020-08-11,,,,,,,336491.58249137836,
197,,,2020-08-12,,,,,,,338270.47820097336,
