,day,date,new_confirmed_cases,new_deaths,new_recoveries,cumulative_cases,currently_infected,delta
0,0,2020-02-19,2,2,0,2,0,-2
1,1,2020-02-20,3,0,0,5,3,-2
2,2,2020-02-21,13,2,0,18,14,-4
3,3,2020-02-22,10,1,0,28,23,-5
4,4,2020-02-23,15,3,0,43,35,-8
5,5,2020-02-24,18,4,0,61,49,-12
6,6,2020-02-25,34,4,0,95,79,-16
7,7,2020-02-26,44,3,49,139,71,-68
8,8,2020-02-27,106,7,0,245,170,-75
9,9,2020-02-28,143,8,24,388,281,-107
10,10,2020-02-29,205,9,50,593,427,-166
11,11,2020-03-01,385,11,52,978,749,-229
12,12,2020-03-02,523,12,116,1501,1144,-357
13,13,2020-03-03,835,11,0,2336,1968,-368
14,14,2020-03-04,586,15,261,2922,2278,-644
15,15,2020-03-05,591,15,187,3513,2667,-846
16,16,2020-03-06,1234,17,174,4747,3710,-1037
17,17,2020-03-07,1076,21,756,5823,4009,-1814
18,18,2020-03-08,743,49,465,6566,4238,-2328
19,19,2020-03-09,595,43,260,7161,4530,-2631
20,20,2020-03-10,881,54,337,8042,5020,-3022
21,21,2020-03-11,958,63,228,9000,5687,-3313
22,22,2020-03-12,1075,75,0,10075,6687,-3388
23,23,2020-03-13,1289,85,0,11364,7891,-3473
24,24,2020-03-14,1365,97,0,12729,9159,-3570
25,25,2020-03-15,1209,113,1631,13938,8624,-5314
26,26,2020-03-16,1053,129,0,14991,9548,-5443
27,27,2020-03-17,1178,135,799,16169,9792,-6377
28,28,2020-03-18,1192,147,0,17361,10837,-6524
29,29,2020-03-19,1046,149,321,18407,11413,-6994
30,30,2020-03-20,1237,149,1035,19644,11466,-8178
31,31,2020-03-21,966,123,890,20610,11419,-9191
32,32,2020-03-22,1028,129,0,21638,12318,-9320
33,33,2020-03-23,1411,127,741,23049,12861,-10188
34,34,2020-03-24,1762,122,537,24811,13964,-10847
35,35,2020-03-25,2206,143,712,27017,15315,-11702
36,36,2020-03-26,2389,157,832,29406,16715,-12691
37,37,2020-03-27,2926,144,676,32332,18821,-13511
38,38,2020-03-28,3076,139,546,35408,21212,-14196
39,39,2020-03-29,2901,123,712,38309,23278,-15031
40,40,2020-03-30,3186,117,1520,41495,24827,-16668
41,41,2020-03-31,3110,141,745,44605,27051,-17554
42,42,2020-04-01,2988,138,817,47593,29084,-18509
43,43,2020-04-02,2875,124,1238,50468,30597,-19871
44,44,2020-04-03,2715,134,1224,53183,31954,-21229
45,45,2020-04-04,2560,158,1801,55743,32555,-23188
46,46,2020-04-05,2483,151,0,58226,34887,-23339
47,47,2020-04-06,2274,136,4500,60500,32525,-27975
48,48,2020-04-07,2089,133,2803,62589,31678,-30911
49,49,2020-04-08,1997,121,2773,64586,30781,-33805
50,50,2020-04-09,1634,117,2497,66220,29801,-36419
51,51,2020-04-10,1972,122,3156,68192,28495,-39697
52,52,2020-04-11,1837,125,6482,70029,23725,-46304
53,53,2020-04-12,1657,117,1947,71686,23318,-48368
54,54,2020-04-13,1617,111,2089,73303,22735,-50568
55,55,2020-04-14,1574,98,2146,74877,22065,-52812
56,56,2020-04-15,1512,94,1804,76389,21679,-54710
57,57,2020-04-16,1606,92,2296,77995,20897,-57098
58,58,2020-04-17,1499,89,1835,79494,20472,-59022
59,59,2020-04-18,1374,73,1923,80868,19850,-61018
60,60,2020-04-19,1343,87,1036,82211,20070,-62141
61,61,2020-04-20,1294,91,2250,83505,19023,-64482
62,62,2020-04-21,1297,88,1692,84802,18540,-66262
63,63,2020-04-22,1194,94,2148,85996,17492,-68504
64,64,2020-04-23,1030,90,1730,87026,16702,-70324
65,65,2020-04-24,1168,93,1756,88194,16021,-72173
66,66,2020-04-25,1134,76,1594,89328,15485,-73843
67,67,2020-04-26,1153,60,1464,90481,15114,-75367
68,68,2020-04-27,991,96,1276,91472,14733,-76739
69,69,2020-04-28,1112,71,1506,92584,14268,-78316
70,70,2020-04-29,1073,80,1352,93657,13909,-79748
71,71,2020-04-30,983,71,1312,94640,13509,-81131
72,72,2020-05-01,1006,63,1215,95646,13237,-82409
73,73,2020-05-02,802,65,1032,96448,12942,-83506
74,74,2020-05-03,976,47,1072,97424,12799,-84625
75,75,2020-05-04,1223,74,957,98647,12991,-85656
